('40.70848', '-73.95323')
('40.6778', '-73.9135')
('40.719', '-73.96')
('40.72046', '-73.98773')
('40.68242', '-73.94774')
('40.66615', '-73.95426')
('40.66417', '-73.95307')
('40.67963', '-73.97054')
('40.7', '-73.89')
('40.70763', '-73.95177')
('40.69144', '-73.956')
('40.6752', '-73.93215')
('40.6974', '-73.92487')
('40.7132', '-73.94164')
('40.69385', '-73.94413')
('40.7093', '-73.96484')
('40.70033', '-73.93127')
('40.70972', '-73.93864')
('40.71716', '-73.99462')
('40.68249', '-73.97139')
('40.68469', '-73.9375')
('40.72137', '-74.04642')
('40.69362', '-73.95906')
('40.719', '-73.96')
('40.69699', '-73.93387')
('40.68671', '-73.93346')
('40.68514', '-73.95976')
('40.68101', '-73.94081')
('40.69271', '-73.94353')
('40.72476', '-74.00387')
('40.66018', '-73.96005')
('40.67627', '-73.90795')
('40.65507', '-73.95824')
('40.68499', '-73.94433')
('40.73652', '-74.00876')
('40.73469', '-73.85426')
('40.6922', '-73.92399')
('40.72361', '-73.9847')
('40.688', '-73.964')
('40.678', '-73.97118')
('40.70111', '-73.94471')
('40.721', '-73.947')
('40.65848', '-73.952')
('40.67794', '-73.90639')
('40.69554', '-73.92458')
('40.68624', '-73.95528')
('40.72408', '-73.98297')
('40.694', '-73.92')
('40.70072', '-73.91359')
('40.69499', '-73.9283')
('40.68873', '-73.91508')
('40.68592', '-73.9555')
('40.688', '-73.964')
('40.63504', '-73.96603')
('40.71255', '-73.94881')
('40.71024', '-73.9517')
('40.71323', '-73.9878')
('40.727', '-73.989')
('40.64795', '-73.89337')
('40.72836', '-73.98163')
('40.69695', '-73.95951')
('40.67843', '-73.98393')
('40.68426', '-73.95054')
('40.6884', '-73.9305')
('40.68275', '-73.98562')
('40.69758', '-73.93493')
('40.69674', '-73.92972')
('40.68757', '-73.93032')
('40.69007', '-73.94326')
('40.67705', '-73.94925')
('40.70515', '-73.943')
('40.67653', '-73.90814')
('40.71455', '-73.99483')
('40.65925', '-73.89396')
('40.67757', '-73.97023')
('40.69233', '-73.90579')
('40.7135', '-73.99121')
('40.68908', '-73.95545')
('40.6861', '-73.93997')
('40.68281', '-73.93524')
('40.67308', '-73.96294')
('40.71398', '-73.95763')
('40.69452', '-73.9284')
('40.71815', '-73.98937')
('40.67175', '-73.9436')
('40.63993', '-73.98209')
('40.6736', '-73.92612')
('40.64885', '-73.94681')
('40.7331', '-73.95837')
('40.724', '-73.98')
('40.6964', '-73.91366')
('40.64895', '-73.94838')
('40.65387', '-73.95973')
('40.6956', '-73.94827')
('40.67547', '-73.97361')
('40.67897', '-73.9709')
('40.67855', '-73.94949')
('40.69651', '-73.96147')
('40.69903', '-73.93021')
('40.694', '-73.998')
('40.73747', '-73.9248')
('40.70834', '-73.94717')
('40.6951', '-73.92983')
('40.68362', '-73.88334')
('40.71909', '-73.95998')
('40.69362', '-73.94511')
('40.66733', '-73.88348')
('40.70394', '-74.00589')
('40.68623', '-73.93807')
('40.679', '-73.97')
('40.66501', '-73.98992')
('40.68742', '-73.92825')
('40.68048', '-73.94911')
('40.70186', '-73.90467')
('40.67758', '-73.97123')
('40.68861', '-73.94109')
('40.69652', '-73.92351')
('40.72232', '-73.9434')
('40.68796', '-73.91906')
('40.64579', '-73.97383')
('40.63952', '-73.98205')
('40.69962', '-73.91646')
('40.70426', '-74.00711')
('40.71326', '-73.94947')
('40.68812', '-73.93254')
('40.70007', '-73.94338')
('40.73109', '-73.98234')
('40.69918', '-73.94513')
('40.68858', '-73.92212')
('40.71137', '-73.94362')
('40.69006', '-73.86917')
('40.69482', '-73.96419')
('40.66853', '-73.98912')
('40.68638', '-73.91368')
('40.68025', '-73.91199')
('40.69647', '-73.92474')
('40.689', '-73.935')
('40.655', '-73.914')
('40.7179', '-73.96107')
('40.68741', '-73.95741')
('40.67727', '-73.9838')
('40.68944', '-73.9376')
('40.667', '-73.99233')
('40.68736', '-73.92827')
('40.72951', '-73.98239')
('40.70337', '-73.93071')
('40.70623', '-73.94951')
('40.67619', '-73.94936')
('40.69754', '-73.9357')
('40.71231', '-73.99257')
('40.63447', '-74.02455')
('40.695', '-73.934')
('40.68161', '-73.90796')
('40.68258', '-73.91284')
('40.69527', '-73.94786')
('40.716', '-73.99')
('40.689', '-73.913')
('40.69003', '-73.95846')
('40.70801', '-73.9011')
('40.67868', '-73.98254')
('40.70054', '-73.90255')
('40.68873', '-73.93881')
('40.72102', '-73.94382')
('40.67409', '-73.92607')
('40.66884', '-73.95957')
('40.72227', '-73.95788')
('40.72598', '-73.97778')
('40.68972', '-73.93073')
('40.695', '-73.936')
('40.69402', '-73.94529')
('40.68178', '-73.91287')
('40.68798', '-73.93903')
('40.68814', '-73.93089')
('40.69454', '-73.92612')
('40.68713', '-73.93659')
('40.68888', '-73.91911')
('40.69118', '-73.9083')
('40.681', '-74.004')
('40.63013', '-73.90809')
('40.72509', '-73.94426')
('40.69048', '-73.92193')
('40.72207', '-73.94226')
('40.68929', '-73.93079')
('40.673', '-73.954')
('40.68357', '-73.93753')
('40.68598', '-73.92677')
('40.69013', '-73.95185')
('40.71254', '-73.98535')
('40.68771', '-73.92281')
('40.72627', '-74.04993')
('40.67311', '-73.94679')
('40.68502', '-73.93893')
('40.68344', '-73.92189')
('40.67883', '-73.97051')
('40.67542', '-73.95107')
('40.68224', '-73.86806')
('40.68823', '-73.95863')
('40.66002', '-73.99073')
('40.71408', '-73.9489')
('40.69883', '-73.93364')
('40.7127', '-73.94034')
('40.68917', '-73.92901')
('40.6779', '-73.98459')
('40.69022', '-73.93077')
('40.694', '-73.946')
('40.70682', '-73.95712')
('40.69995', '-73.9235')
('40.66048', '-73.93335')
('40.69246', '-73.95863')
('40.67271', '-73.94551')
('40.6786', '-73.98381')
('40.731', '-74.004')
('40.70011', '-73.92241')
('40.69012', '-73.95433')
('40.6467', '-73.99679')
('40.69168', '-73.93711')
('40.69545', '-73.94829')
('40.71279', '-73.96037')
('40.71361', '-73.94804')
('40.70422', '-73.92757')
('40.68772', '-73.90808')
('40.6796', '-73.96948')
('40.6878', '-73.93272')
('40.70019', '-73.94098')
('40.70818', '-73.92256')
('40.68173', '-73.91342')
('40.69003', '-73.93085')
('40.706', '-73.929')
('40.67991', '-73.98368')
('40.6896', '-73.95653')
('40.68473', '-73.946')
('40.70107', '-73.98391')
('40.67108', '-73.92308')
('40.67727', '-73.90663')
('40.68362', '-73.99714')
('40.73908', '-73.9203')
